,ponto_somatico,funcao_SCII,area_cerebral,rede_neural,funcao_cognitiva,sistema_autonomo
Aleph,Centro do tórax,"Origem, Inspiração",Córtex Pré-Frontal Ventromedial,Rede do Modo Padrão (DMN),"Intuição, Autoimagem",Vagal
Bet,Boca (interior),"Casa, Contenção",Hipocampo,Sistema de Memória,"Espaço interno, Memória",Vagal
Gimel,Garganta,"Movimento, Dádiva",Núcleo Accumbens,Sistema de Recompensa,"Generosidade, Fluxo",Simpático
Dalet,Ombro direito,"Porta, Decisão",Córtex Pré-Motor,Rede Motora,"Escolha, Direção",Vagal
Heh,Narinas,"Respiração, Inspiração divina",Córtex Insular Anterior,Interocepção,Percepção de si,Vagal
Vav,Coluna Vertebral,"Canal, Ligação",Medula Espinhal + Tálamo,Integração Corpo-Cérebro,Coordenação,Ambos
Zayin,Olhos,"Foco, Direcionamento",Córtex Visual,Rede Parietal Dorsal,Atenção Sustentada,Simpático
Chet,Pulmões,"Vida, Respiração",Córtex Motor Primário,Rede Respiratória,Vitalidade,Vagal
Tet,Plexo Solar,"Potência interna, Magnetismo",Córtex Somatossensorial,Rede de Saliência,"Identidade, Intuição emocional",Ambos
Yod,Dedo indicador,"Ponto de criação, Direção",Córtex Motor,Rede de Execução,Iniciação,Simpático
Kaf,Palma da mão,"Receber, Manifestar",Córtex Sensorial,Rede Somatossensorial,Ação tangível,Ambos
Lamed,Coluna superior,"Aprendizado, Elevação",Hipocampo,Rede de Aprendizado,Memória e Integração,Vagal
Mem,Água do ventre,"Gestação, Subconsciente",Sistema Límbico,Rede Emocional,"Sonho, Profundidade emocional",Ambos
Nun,Intestinos,"Processamento, Descarga",Cerebelo,Rede Autonômica,Transição,Simpático
Samekh,Coluna dorsal,"Apoio, Sustentação",Tronco encefálico,Rede de Sustentação,Estabilidade emocional,Vagal
Ayin,Olhos internos,Visão interior,Lobo Occipital,Rede Visual,Percepção,Ambos
Pe,Lábios,"Palavra, Expressão",Área de Broca,Rede Linguística,Expressão verbal,Ambos
Tzadi,Quadril,"Justiça, Fundação",Córtex Parietal,Rede de Decisão,Autonomia,Ambos
Qof,Nuca,"Códigos ocultos, Passagem",Cerebelo,Rede de Coordenação,"Rituais, Transição",Ambos
Resh,Topo da cabeça,"Início, Comando",Córtex Pré-Frontal,Rede Executiva Central,Metacognição,Ambos
Shin,Dentes,"Fogo, Transformação",Córtex Sensorial,Rede de Estímulo,Transmutação,Simpático
Tav,Planta dos pés,"Selo, Finalização",Córtex Somatossensorial,Rede de Conexão Corpo-Terra,Concretização,Vagal
